Taxon,Cluster
ERR068029,68
ERR124293,68
ERR129119,68
ERR124290,68
ERR067963,68
ERR065300,68
ERR124250,68
ERR124275,68
ERR129179,68
ERR069726,68
ERR069728,68
ERR065329,68
ERR124316,68
ERR129173,68
ERR067962,68
ERR067970,68
ERR129206,13
ERR068014,13
ERR129094,13
ERR129095,13
ERR068009,13
ERR068012,33
ERR124282,33
ERR068018,33
ERR129088,33
ERR129113,33
ERR065968,33
ERR124304,33
ERR129132,33
ERR069715,33
ERR129199,33
ERR068013,33
ERR124285,33
ERR069690,33
ERR129126,33
ERR129058,33
ERR129051,33
ERR129090,33
ERR129164,33
ERR129158,33
ERR067977,33
ERR067981,33
ERR069683,33
ERR124237,33
ERR124265,33
ERR068020,33
ERR069768,33
ERR069712,33
ERR129162,9
ERR069797,9
ERR065958,9
ERR069785,9
ERR069821,9
ERR129066,44
ERR065304,44
ERR065959,44
ERR067991,44
ERR068016,44
ERR124230,44
ERR129038,44
ERR067998,3
ERR068010,3
ERR129195,3
ERR124320,3
ERR129105,3
ERR069714,3
ERR065342,3
ERR069799,3
ERR065301,3
ERR069818,3
ERR129182,3
ERR129053,3
ERR129077,3
ERR129196,3
ERR129144,3
ERR065343,24
ERR124248,24
ERR069686,24
ERR067996,24
ERR069783,24
ERR069836,24
ERR124260,24
ERR069778,24
ERR067965,24
ERR065338,24
ERR124307,24
ERR129096,24
ERR129204,24
ERR129156,24
ERR067995,24
ERR124318,24
ERR069688,24
ERR069767,24
ERR069738,24
ERR067987,24
ERR068037,24
ERR069716,14
ERR069750,14
ERR129180,14
ERR067983,14
ERR069689,14
ERR069748,14
ERR068006,14
ERR067989,14
ERR069701,14
ERR069832,14
ERR129212,14
ERR124306,47
ERR124258,47
ERR065312,47
ERR124218,47
ERR069746,62
ERR069823,62
ERR069765,62
ERR069740,62
ERR065962,62
ERR065330,62
ERR124231,62
ERR065967,62
ERR069732,62
ERR067964,62
ERR069835,62
ERR069755,62
ERR065344,62
ERR069770,62
ERR069812,62
ERR069719,62
ERR065292,62
ERR069721,62
ERR124244,45
ERR069786,17
ERR069685,17
ERR069693,17
ERR065971,17
ERR065969,17
ERR069779,17
ERR129168,17
ERR129172,17
ERR069798,17
ERR129169,139
ERR065298,139
ERR069766,139
ERR069811,139
ERR067997,139
ERR124264,139
ERR124317,139
ERR067994,139
ERR129039,139
ERR124232,139
ERR129152,139
ERR129203,139
ERR068025,139
ERR065327,139
ERR124254,139
ERR069757,78
ERR124310,78
ERR129145,78
ERR124217,78
ERR129111,78
ERR065309,78
ERR124305,78
ERR065316,78
ERR129048,78
ERR124253,78
ERR124266,78
ERR129128,149
ERR069744,149
ERR067969,149
ERR065963,149
ERR067966,149
ERR069763,149
ERR124303,149
ERR069787,149
ERR124314,149
ERR069747,149
ERR069700,149
ERR069825,149
ERR129056,39
ERR129040,39
ERR065321,39
ERR069775,39
ERR068039,39
ERR065302,39
ERR129124,39
ERR129188,39
ERR069773,39
ERR129202,31
ERR129216,31
ERR129028,31
ERR129083,31
ERR129030,31
ERR129138,31
ERR129136,31
ERR129103,31
ERR129135,54
ERR124311,54
ERR129057,54
ERR065290,54
ERR069840,29
ERR065352,16
ERR065294,16
ERR069742,16
ERR067961,19
ERR124292,19
ERR129067,19
ERR124243,19
ERR124228,19
ERR069718,19
ERR129073,19
ERR124224,19
ERR124276,19
ERR124312,19
ERR069695,49
ERR069739,49
ERR065315,49
ERR124226,36
ERR129064,36
ERR069769,36
ERR067993,56
ERR069803,56
ERR069841,56
ERR069806,35
ERR069816,35
ERR069824,35
ERR069729,35
ERR069772,35
ERR069730,35
ERR065956,35
ERR124256,53
ERR068048,53
ERR069731,53
ERR129201,53
ERR065347,53
ERR065350,53
ERR069809,53
ERR069814,50
ERR124257,50
ERR068007,50
ERR129185,50
ERR069789,50
ERR067972,50
ERR068021,50
ERR065318,196
ERR124289,196
ERR129041,196
ERR129184,196
ERR124271,196
ERR124309,196
ERR068031,132
ERR069697,132
ERR069792,132
ERR065354,132
ERR069723,132
ERR069692,132
ERR069810,132
ERR124278,59
ERR129130,59
ERR065341,59
ERR065289,59
ERR065965,59
ERR065974,59
ERR065296,59
ERR065325,107
ERR069737,107
ERR065960,107
ERR129050,107
ERR065299,107
ERR129181,51
ERR124286,195
ERR124288,195
ERR124294,195
ERR124319,195
ERR124297,195
ERR129044,41
ERR129194,41
ERR129110,123
ERR124247,144
ERR065349,72
ERR069722,72
ERR068022,72
ERR069815,125
ERR129151,125
ERR069820,112
ERR129084,112
ERR129102,468
ERR129071,468
ERR068030,129
ERR129187,292
ERR129047,292
ERR129045,721
ERR069764,727
ERR069808,626
ERR067975,387
